employer provided mental healthcare awareness,Gender,Age,Country of residence,year
Yes,Female,27.0,United Kingdom,2017
Yes,Male,31.0,United Kingdom,2017
No,Male,36.0,United States of America,2017
Yes,Male,22.0,United States of America,2017
No,Male,30.0,United States of America,2017
Yes,Female,36.0,United States of America,2017
No,Female,38.0,United States of America,2017
No,Male,35.0,Switzerland,2017
Yes,Male,40.0,United States of America,2017
No,Male,35.0,United States of America,2017
No,Male,23.0,Russia,2017
No,Female,22.0,United States of America,2017
No,Male,28.0,United States of America,2017
No,Male,38.0,Bangladesh,2017
No,Male,21.0,Germany,2017
No,Female,35.0,United Kingdom,2017
No,Male,22.0,United Kingdom,2017
No,Female,37.0,United States of America,2017
No,Male,40.0,Canada,2017
No,Male,33.0,Israel,2017
No,Female,66.0,United States of America,2017
Yes,Female,31.0,United States of America,2017
Yes,Male,32.0,Canada,2017
Yes,Female,30.0,United States of America,2017
Yes,Male,31.0,United States of America,2017
No,Female,28.0,United States of America,2017
No,Female,34.0,Japan,2017
Yes,Male,25.0,United States of America,2017
Yes,Male,35.0,United States of America,2017
Yes,Male,40.0,United States of America,2017
No,Male,32.0,United States of America,2017
No,Male,39.0,United States of America,2017
Yes,Male,33.0,United States of America,2017
Yes,Male,40.0,United States of America,2017
No,Male,42.0,United States of America,2017
No,Male,32.0,United States of America,2017
Yes,Female,27.0,United States of America,2017
No,Male,39.0,United States of America,2017
No,Female,42.0,United States of America,2017
Yes,Other,37.0,Canada,2017
Yes,Female,38.0,United States of America,2017
No,Male,47.0,United Kingdom,2017
No,Male,64.0,United Kingdom,2017
Yes,Male,28.0,Canada,2017
Yes,Male,37.0,United Kingdom,2017
Yes,Female,30.0,United Kingdom,2017
No,Male,25.0,United Kingdom,2017
Yes,Male,61.0,United Kingdom,2017
No,Male,26.0,India,2017
Yes,Female,44.0,United States of America,2017
No,Male,26.0,Portugal,2017
No,Female,26.0,Portugal,2017
No,Female,35.0,United States of America,2017
Yes,Male,45.0,United States of America,2017
No,Male,23.0,United States of America,2017
Yes,Male,44.0,United States of America,2017
No,Male,38.0,United States of America,2017
Yes,Male,46.0,United States of America,2017
No,Other,27.0,United States of America,2017
Yes,Female,39.0,United States of America,2017
No,Female,33.0,United States of America,2017
No,Male,32.0,Czech Republic,2017
Yes,Female,26.0,United States of America,2017
Yes,Male,50.0,United States of America,2017
Yes,Male,31.0,United States of America,2017
No,Male,46.0,Romania,2017
No,Male,30.0,United States of America,2017
No,Male,30.0,United States of America,2017
No,Male,34.0,Germany,2017
Yes,Male,42.0,United Kingdom,2017
Yes,Female,24.0,United States of America,2017
Yes,Male,23.0,Canada,2017
Yes,Female,31.0,United States of America,2017
No,Male,31.0,Finland,2017
Yes,Female,27.0,United States of America,2017
Yes,Female,52.0,United States of America,2017
No,Male,37.0,United States of America,2017
Yes,Male,38.0,United States of America,2017
Yes,Male,34.0,United States of America,2017
Yes,Female,38.0,Germany,2017
No,Male,30.0,United States of America,2017
Yes,Male,52.0,United States of America,2017
No,Female,26.0,United Kingdom,2017
No,Female,29.0,United States of America,2017
Yes,Male,44.0,United States of America,2017
Yes,Male,30.0,United States of America,2017
No,Male,29.0,United States of America,2017
Yes,Female,27.0,United States of America,2017
Yes,Male,39.0,United States of America,2017
Yes,Female,40.0,United States of America,2017
Yes,Female,36.0,United States of America,2017
Yes,Male,43.0,United States of America,2017
Yes,Male,38.0,United States of America,2017
No,Male,42.0,United States of America,2017
Yes,Male,30.0,United States of America,2017
Yes,Male,25.0,United Kingdom,2017
Yes,Female,24.0,Germany,2017
No,Male,26.0,United Kingdom,2017
Yes,Male,43.0,United States of America,2017
Yes,Female,25.0,United States of America,2017
No,Male,34.0,United States of America,2017
Yes,Female,28.0,United States of America,2017
No,Male,22.0,India,2017
No,Female,24.0,Romania,2017
No,Male,24.0,United States of America,2017
No,Male,54.0,United States of America,2017
Yes,Male,47.0,United States of America,2017
Yes,Male,48.0,United States of America,2017
No,Male,35.0,United States of America,2017
No,Male,34.0,United States of America,2017
Yes,Male,25.0,United States of America,2017
No,Male,48.0,Spain,2017
No,Male,34.0,United States of America,2017
Yes,Male,42.0,United States of America,2017
No,Male,27.0,United States of America,2017
Yes,Female,33.0,United States of America,2017
Yes,Female,27.0,United States of America,2017
No,Male,48.0,United States of America,2017
Yes,Female,32.0,United States of America,2017
No,Male,29.0,United States of America,2017
No,Female,23.0,Canada,2017
No,Female,50.0,United States of America,2017
No,Female,29.0,Hungary,2017
No,Female,42.0,United States of America,2017
No,Male,22.0,United States of America,2017
Yes,Female,39.0,United States of America,2017
No,Female,29.0,Canada,2017
No,Female,30.0,Croatia,2017
Yes,Male,28.0,United States of America,2017
