tech company,employer provided healthcare with mental benefits,employer provided mental healthcare awareness,current mental health disorder,mental health diagnosis,family history of mental illness,discussed personal mental health with employer,anonymity protected when using benefits,ease of asking for leave,comfortable discussing a mental health issue with direct supervisor(s),comfortable discussing a mental health issue with coworkers,Number of employees,how well do you think the tech industry supports employees with mental health issues,observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace,Age,Gender,Country of residence,Race,year
1.0,No,Yes,Possibly,,No,0.0,I don't know,I don't know,Yes,Yes,100-500,1.0,"Yes, I experienced","Yes, I experienced",27.0,Female,United Kingdom,,2017
1.0,Yes,Yes,Possibly,,No,0.0,I don't know,I don't know,Maybe,Yes,100-500,2.0,"Yes, I observed",Maybe/Not sure,31.0,male,United Kingdom,,2017
1.0,I don't know,No,Yes,Yes,Yes,1.0,Yes,Difficult,Yes,Maybe,6-25,1.0,"Yes, I experienced","Yes, I experienced",36.0,male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,Yes,Difficult,Yes,Yes,More than 1000,2.0,Maybe/Not sure,Maybe/Not sure,22.0,Male,United States of America,White,2017
,,,No,,Yes,,,,,,,1.0,No,"Yes, I observed",52.0,female,United States of America,More than one of the above,2017
1.0,Yes,No,No,,Yes,0.0,Yes,Somewhat easy,Maybe,Maybe,100-500,2.0,"Yes, I observed","Yes, I observed",30.0,male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Very easy,Yes,No,6-25,2.0,No,"Yes, I observed",36.0,F,United States of America,Asian,2017
1.0,Yes,No,No,,Yes,0.0,I don't know,Somewhat easy,Yes,Maybe,26-100,2.0,No,"Yes, I observed",38.0,Female,United States of America,White,2017
0.0,I don't know,No,Don't Know,,I don't know,0.0,Yes,Very easy,Maybe,Maybe,100-500,2.0,No,"Yes, I experienced",35.0,Male,Switzerland,,2017
,,,Possibly,,No,,,,,,,3.0,"Yes, I experienced","Yes, I experienced",36.0,male,India,,2017
0.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,I don't know,No,No,100-500,1.0,"Yes, I experienced",No,40.0,M,United States of America,White,2017
1.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,Difficult,Maybe,No,100-500,1.0,"Yes, I experienced",No,35.0,Male,United States of America,White,2017
1.0,No,No,No,,No,1.0,I don't know,Neither easy nor difficult,Maybe,Yes,More than 1000,4.0,Maybe/Not sure,Maybe/Not sure,23.0,Male,Russia,,2017
1.0,I don't know,No,Yes,No,I don't know,0.0,I don't know,Neither easy nor difficult,Maybe,Maybe,More than 1000,3.0,Maybe/Not sure,Maybe/Not sure,22.0,Female,United States of America,White,2017
1.0,I don't know,,Yes,Yes,Yes,1.0,Yes,Very easy,Maybe,Yes,26-100,3.0,No,No,34.0,female,United States of America,Black or African American,2017
0.0,Yes,No,Yes,Yes,No,0.0,I don't know,Somewhat easy,Yes,Maybe,100-500,4.0,"Yes, I experienced",Maybe/Not sure,28.0,Male,United States of America,White,2017
0.0,No,No,Possibly,,No,0.0,Yes,Neither easy nor difficult,Yes,Yes,26-100,5.0,"Yes, I experienced",Maybe/Not sure,38.0,male,Bangladesh,,2017
,,,No,,No,,,,,,,2.0,No,No,53.0,Male,United States of America,White,2017
1.0,I don't know,No,Possibly,,No,0.0,I don't know,Somewhat easy,Maybe,Maybe,6-25,3.0,No,Maybe/Not sure,21.0,Male,Germany,,2017
0.0,I don't know,No,Don't Know,,Yes,0.0,I don't know,Neither easy nor difficult,Maybe,Maybe,More than 1000,3.0,Maybe/Not sure,"Yes, I observed",35.0,F,United Kingdom,,2017
1.0,No,No,Possibly,,Yes,0.0,I don't know,Neither easy nor difficult,No,No,6-25,2.0,No,No,22.0,Male,United Kingdom,,2017
0.0,Not eligible for coverage / NA,,Possibly,,Yes,0.0,Yes,Somewhat difficult,Yes,Yes,100-500,3.0,No,"Yes, I observed",18.0,Male,United Kingdom,,2017
0.0,I don't know,No,Yes,Yes,Yes,1.0,I don't know,Difficult,Yes,Yes,26-100,1.0,"Yes, I observed","Yes, I experienced",37.0,female,United States of America,White,2017
1.0,No,,Yes,Yes,I don't know,1.0,I don't know,Difficult,Maybe,Maybe,1-5,3.0,No,"Yes, I experienced",25.0,Male,United Kingdom,,2017
1.0,No,No,Don't Know,,I don't know,0.0,I don't know,I don't know,No,Maybe,100-500,3.0,No,No,40.0,male,Canada,,2017
1.0,No,No,Don't Know,,Yes,0.0,Yes,Very easy,Yes,Maybe,6-25,2.0,No,"Yes, I observed",33.0,Male,Israel,,2017
0.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,Somewhat difficult,No,No,More than 1000,2.0,"Yes, I experienced",No,66.0,F,United States of America,White,2017
0.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,Maybe,Maybe,100-500,3.0,"Yes, I observed","Yes, I experienced",31.0,female,United States of America,White,2017
0.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Neither easy nor difficult,Maybe,Yes,100-500,4.0,"Yes, I observed",No,32.0,Male,Canada,,2017
,,,Yes,Yes,I don't know,,,,,,,3.0,No,"Yes, I experienced",46.0,M,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat difficult,No,No,100-500,3.0,No,No,30.0,female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,Yes,Very easy,Maybe,Maybe,100-500,4.0,"Yes, I observed","Yes, I observed",31.0,Man,United States of America,Black or African American,2017
1.0,Not eligible for coverage / NA,,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Maybe,Yes,100-500,2.0,No,"Yes, I experienced",46.0,Male,Iceland,,2017
,,,Yes,Yes,I don't know,,,,,,,2.0,"Yes, I observed",No,29.0,,Canada,,2017
0.0,Not eligible for coverage / NA,No,Yes,Yes,Yes,0.0,I don't know,I don't know,Maybe,Maybe,More than 1000,3.0,No,Maybe/Not sure,28.0,f,United States of America,More than one of the above,2017
0.0,No,No,Yes,Yes,I don't know,0.0,I don't know,Difficult,No,No,6-25,1.0,Maybe/Not sure,No,34.0,Female,Japan,,2017
1.0,Yes,Yes,Yes,Yes,I don't know,0.0,No,Difficult,Yes,Yes,26-100,3.0,No,"Yes, I experienced",25.0,Male,United States of America,White,2017
0.0,Yes,Yes,Yes,Yes,I don't know,0.0,Yes,Somewhat easy,Maybe,No,100-500,2.0,No,Maybe/Not sure,35.0,Male,United States of America,White,2017
,,,No,,Yes,,,,,,,1.0,Maybe/Not sure,Maybe/Not sure,25.0,,Indonesia,,2017
1.0,Yes,Yes,Possibly,,No,1.0,I don't know,Somewhat easy,Yes,Yes,100-500,3.0,No,No,40.0,male,United States of America,White,2017
0.0,I don't know,No,Yes,Yes,I don't know,1.0,I don't know,Very easy,Yes,Maybe,100-500,2.0,Maybe/Not sure,"Yes, I experienced",32.0,M,United States of America,I prefer not to answer,2017
0.0,I don't know,No,No,,Yes,0.0,I don't know,Neither easy nor difficult,No,No,100-500,2.0,No,No,39.0,Male,United States of America,I prefer not to answer,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,I don't know,Maybe,Maybe,500-1000,4.0,No,Maybe/Not sure,33.0,male,United States of America,White,2017
1.0,Yes,Yes,Possibly,,I don't know,0.0,Yes,Very easy,No,No,100-500,4.0,No,No,40.0,Male,United States of America,Black or African American,2017
1.0,Yes,No,Yes,Yes,I don't know,1.0,Yes,Very easy,Yes,Maybe,500-1000,3.0,Maybe/Not sure,Maybe/Not sure,42.0,male,United States of America,I prefer not to answer,2017
0.0,I don't know,No,Yes,Yes,Yes,1.0,I don't know,Difficult,No,No,More than 1000,3.0,"Yes, I observed",Maybe/Not sure,32.0,Male,United States of America,White,2017
0.0,Yes,Yes,Yes,Yes,I don't know,1.0,No,Somewhat difficult,No,Maybe,More than 1000,3.0,"Yes, I experienced","Yes, I observed",27.0,Female,United States of America,White,2017
,,,Yes,Yes,Yes,,,,,,,2.0,"Yes, I experienced",No,43.0,Female,United Kingdom,,2017
0.0,No,,Possibly,,I don't know,0.0,No,Difficult,No,Maybe,6-25,2.0,Maybe/Not sure,No,30.0,female,Indonesia,,2017
0.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,Difficult,Maybe,Maybe,26-100,2.0,No,Maybe/Not sure,39.0,male,United States of America,White,2017
1.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,I don't know,No,Yes,6-25,3.0,No,"Yes, I experienced",42.0,Female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,Maybe,6-25,3.0,"Yes, I observed","Yes, I experienced",37.0,Genderfluid,Canada,,2017
0.0,I don't know,Yes,Yes,Yes,Yes,1.0,I don't know,Difficult,No,No,500-1000,2.0,"Yes, I experienced",No,38.0,Female,United States of America,White,2017
1.0,I don't know,No,Don't Know,,No,0.0,I don't know,Very easy,Maybe,Maybe,More than 1000,4.0,Maybe/Not sure,Maybe/Not sure,47.0,Male,United Kingdom,,2017
1.0,I don't know,No,Yes,Yes,No,0.0,I don't know,Somewhat difficult,No,No,500-1000,3.0,"Yes, I observed","Yes, I observed",64.0,male,United Kingdom,,2017
0.0,No,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat difficult,No,No,100-500,2.0,"Yes, I experienced",No,28.0,Male,Canada,,2017
